what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245324927
error,log,,,"An internal error has occurred.",1333245324993
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245325159
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1333245325168
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245343179
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245343258
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333245344329
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1333245357405
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333245359944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333245361135
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1333245363288
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333245369734
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1333245503124
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245545484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245548033
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245548354
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245571545
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245574726
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245578592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245578781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245580412
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333245582458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333245590238
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1333245595722
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1333245596154
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1333245598353
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333245600187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245600208
error,log,,,"An internal error has occurred.",1333245600267
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245600835
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1333245600842
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245601808
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245601872
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245602818
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245603959
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333245604078
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333245604730
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1333245606976
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1333245606976
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1333245606976
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1333245607205
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110819-0851,"org.eclipse.pde.runtime",1333245607341
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1333245607393
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110516,"org.eclipse.pde.ui.templates",1333245607502
stopped,bundle,org.eclipse.rap.ui.launch,1.4.1.20110914-1945,"org.eclipse.rap.ui.launch",1333245607553
stopped,bundle,org.eclipse.rap.ui.templates,1.4.1.20110914-1945,"org.eclipse.rap.ui.templates",1333245607609
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1333245607609
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1333245607664
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1333245636265
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1333245636294
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1333245636330
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1333245636366
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1333245636407
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1333245636432
