what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1333249145064
java.specification.vendor,sysinfo,,,"Oracle Corporation",1333249145064
java.specification.version,sysinfo,,,"1.7",1333249145064
java.vendor,sysinfo,,,"Oracle Corporation",1333249145064
java.version,sysinfo,,,"1.7.0_02",1333249145064
java.vm.info,sysinfo,,,"mixed mode, sharing",1333249145064
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333249145064
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333249145064
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1333249145064
java.vm.specification.version,sysinfo,,,"1.7",1333249145064
java.vm.vendor,sysinfo,,,"Oracle Corporation",1333249145064
java.vm.version,sysinfo,,,"22.0-b10",1333249145064
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1333249145176
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1333249145695
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1333249145938
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1333249146296
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333249161578
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1333249162881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1333249165809
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333249175572
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1333249175697
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1333249175751
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333249175789
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1333249175847
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333249178792
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333249187298
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333249199815
opened,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1333249200954
activated,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1333249201003
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1333249201434
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1333249201490
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333249205343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333249216249
