what,kind,bundleId,bundleVersion,description,time
opened,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1333207774389
activated,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1333207774452
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333207786941
activated,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1333207787162
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1333207804439
error,log,,,"Unhandled event loop exception",1333207804521
error,log,,,"Unhandled event loop exception",1333207804525
error,log,,,"Unhandled event loop exception",1333207805087
error,log,,,"Unhandled event loop exception",1333207807587
error,log,,,"Unhandled event loop exception",1333207807594
error,log,,,"Unhandled event loop exception",1333207807606
error,log,,,"Unhandled event loop exception",1333207808516
error,log,,,"Unhandled event loop exception",1333207811774
error,log,,,"Unhandled event loop exception",1333207811781
error,log,,,"Unhandled event loop exception",1333207811791
error,log,,,"Unhandled event loop exception",1333207812525
error,log,,,"Unhandled event loop exception",1333207817196
error,log,,,"Unhandled event loop exception",1333207817202
error,log,,,"Unhandled event loop exception",1333207818031
error,log,,,"Unhandled event loop exception",1333207822435
error,log,,,"Unhandled event loop exception",1333207822443
error,log,,,"Unhandled event loop exception",1333207822452
error,log,,,"Unhandled event loop exception",1333207823034
error,log,,,"Unhandled event loop exception",1333207826740
error,log,,,"Unhandled event loop exception",1333207829371
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333207831285
error,log,,,"Unhandled event loop exception",1333207831839
error,log,,,"Unhandled event loop exception",1333207831846
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333207836438
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333207837276
